,description,question,choices,answer
159,a stack of pancakes with syrup,"['are there pancakes?', 'what type of object is this?', 'are there pancakes?', 'what type of food is this?', 'is there syrup?', 'what type of food is this?']","[['yes', 'no'], ['stack', 'pile', 'heap', 'mound'], ['yes', 'no'], ['pancakes', 'waffles', 'french toast', 'crepes'], ['yes', 'no'], ['syrup', 'honey', 'jam', 'jelly']]","['yes', 'stack', 'yes', 'pancakes', 'yes', 'syrup']"
160,Golden spheres floating above a rippling amethyst surface.,"['are there spheres floating above a rippling amethyst surface?', 'what type of shape are the spheres?', 'is there a rippling amethyst surface?', 'what type of surface is this?', 'are the spheres floating above a rippling amethyst surface?', 'are the spheres golden?', 'what color are the spheres?', 'is the surface amethyst?', 'what color is the surface?', 'is the surface rippling?', 'is the surface rippling or smooth?']","[['yes', 'no'], ['spheres', 'cubes', 'cylinders', 'cones'], ['yes', 'no'], ['surface', 'floor', 'wall', 'ceiling'], ['yes', 'no'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['amethyst', 'purple', 'red', 'blue'], ['yes', 'no'], ['rippling', 'smooth', 'bumpy', 'rough']]","['yes', 'spheres', 'yes', 'surface', 'yes', 'yes', 'golden', 'yes', 'amethyst', 'yes', 'rippling']"
161,rolling green hills under a clear blue sky,"['are there hills?', 'what type of place is this?', 'is there a sky?', 'what type of place is this?', 'are the hills rolling?', 'what is the hills doing?', 'are the hills green?', 'what color are the hills?', 'is the sky blue?', 'what color is the sky?', 'is the sky clear?', 'is the sky clear or cloudy?']","[['yes', 'no'], ['hills', 'mountains', 'plains', 'valleys'], ['yes', 'no'], ['sky', 'ground', 'water', 'space'], ['yes', 'no'], ['rolling', 'moving', 'changing', 'staying'], ['yes', 'no'], ['green', 'red', 'yellow', 'blue'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['clear', 'cloudy', 'rainy', 'snowy']]","['yes', 'hills', 'yes', 'sky', 'yes', 'rolling', 'yes', 'green', 'yes', 'blue', 'yes', 'clear']"
162,Emerald hexagons resting on a textured parchment background,"['are there hexagons?', 'what shape is this?', 'is there a parchment background?', 'what is the background?', 'are the hexagons resting on the parchment background?', 'are the hexagons emerald?', 'what color are the hexagons?', 'is the parchment background textured?', 'is the parchment background textured or smooth?', 'are the hexagons on the parchment background?']","[['yes', 'no'], ['hexagons', 'circles', 'triangles', 'squares'], ['yes', 'no'], ['parchment background', 'paper background', 'canvas background', 'wood background'], ['yes', 'no'], ['yes', 'no'], ['emerald', 'green', 'blue', 'red'], ['yes', 'no'], ['textured', 'smooth', 'rough', 'bumpy'], ['yes', 'no']]","['yes', 'hexagons', 'yes', 'parchment background', 'yes', 'yes', 'emerald', 'yes', 'textured', 'yes']"
163,A vintage bicycle,"['is this a bicycle?', 'what type of vehicle is this?', 'is the bicycle vintage?', 'is the bicycle vintage or modern?']","[['yes', 'no'], ['bicycle', 'car', 'motorcycle', 'bus'], ['yes', 'no'], ['vintage', 'modern', 'antique', 'new']]","['yes', 'bicycle', 'yes', 'vintage']"
164,A metallic bird perched on a crystal branch,"['is this a bird?', 'what animal is in the picture?', 'is there a branch?', 'what is the bird perched on?', 'is the bird perched on the branch?', 'what is the bird doing?', 'is the bird metallic?', 'what color is the bird?', 'is the branch crystal?', 'what color is the branch?']","[['yes', 'no'], ['bird', 'dog', 'cat', 'fish'], ['yes', 'no'], ['branch', 'tree', 'rock', 'grass'], ['yes', 'no'], ['perched', 'flying', 'swimming', 'running'], ['yes', 'no'], ['metallic', 'black', 'white', 'yellow'], ['yes', 'no'], ['crystal', 'black', 'white', 'yellow']]","['yes', 'bird', 'yes', 'branch', 'yes', 'perched', 'yes', 'metallic', 'yes', 'crystal']"
165,Blue squares and yellow stars,"['are there squares?', 'what shape is this?', 'are there stars?', 'what shape is this?', 'are the squares blue?', 'what color are the squares?', 'are the stars yellow?', 'what color are the stars?']","[['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['stars', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green']]","['yes', 'squares', 'yes', 'stars', 'yes', 'blue', 'yes', 'yellow']"
166,a brown leather satchel with brass buckles,"['is this a satchel?', 'what type of bag is this?', 'are there brass buckles?', 'what type of fastener is this?', 'is the satchel brown?', 'what color is the satchel?', 'is the satchel leather?', 'what is the material of the satchel?']","[['yes', 'no'], ['satchel', 'purse', 'backpack', 'suitcase'], ['yes', 'no'], ['brass buckles', 'metal fasteners', 'plastic clips', 'buttons'], ['yes', 'no'], ['brown', 'black', 'red', 'blue'], ['yes', 'no'], ['leather', 'cloth', 'plastic', 'glass']]","['yes', 'satchel', 'yes', 'brass buckles', 'yes', 'brown', 'yes', 'leather']"
167,a golden torus textured with fine silver lines,"['is this a torus?', 'what type of shape is this?', 'are there lines on the torus?', 'what is on the torus?', 'is the torus textured?', 'is the torus gold?', 'what color is the torus?', 'are the lines silver?', 'what color are the lines?', 'are the lines fine?', 'are the lines fine or coarse?']","[['yes', 'no'], ['torus', 'sphere', 'cube', 'cylinder'], ['yes', 'no'], ['lines', 'dots', 'stripes', 'patterns'], ['yes', 'no'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['fine', 'coarse', 'medium', 'rough']]","['yes', 'torus', 'yes', 'lines', 'yes', 'yes', 'gold', 'yes', 'silver', 'yes', 'fine']"
168,a vibrant red poppy field,"['is this a poppy field?', 'what type of place is this?', 'is the poppy field vibrant red?', 'what color is the poppy field?']","[['yes', 'no'], ['poppy field', 'park', 'forest', 'mountain'], ['yes', 'no'], ['vibrant red', 'pure red', 'red with blue', 'red with yellow']]","['yes', 'poppy field', 'yes', 'vibrant red']"
169,A lone tree silhouetted against a gradient sunset.,"['is this a tree?', 'what type of plant is this?', 'is this a sunset?', 'what type of place is this?', 'is the tree lone?', 'is the tree lone or tree?', 'is the sunset gradient?', 'is the sunset gradient or solid?']","[['yes', 'no'], ['tree', 'flower', 'bush', 'grass'], ['yes', 'no'], ['sunset', 'sunrise', 'noon', 'midnight'], ['yes', 'no'], ['lone', 'tree', 'two', 'three'], ['yes', 'no'], ['gradient', 'solid', 'stripy', 'dotted']]","['yes', 'tree', 'yes', 'sunset', 'yes', 'lone', 'yes', 'gradient']"
170,a silver metal chain with intricate links,"['is this a chain?', 'what type of object is this?', 'are there links?', 'what are the links of the chain made of?', 'is the chain silver?', 'what color is the chain?', 'is the chain metal?', 'what is the material of the chain?', 'are the links intricate?', 'are the links intricate or simple?']","[['yes', 'no'], ['chain', 'belt', 'necklace', 'bracelet'], ['yes', 'no'], ['metal', 'plastic', 'wood', 'glass'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['metal', 'plastic', 'wood', 'glass'], ['yes', 'no'], ['intricate', 'simple', 'complex', 'elaborate']]","['yes', 'chain', 'yes', 'metal', 'yes', 'silver', 'yes', 'metal', 'yes', 'intricate']"
171,crimson circles and emerald squares,"['are there crimson circles?', 'what shape is this?', 'are there emerald squares?', 'what shape is this?', 'are the circles crimson?', 'what color are the circles?', 'are the squares emerald?', 'what color are the squares?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['crimson', 'emerald', 'orange', 'yellow'], ['yes', 'no'], ['emerald', 'crimson', 'orange', 'yellow']]","['yes', 'circles', 'yes', 'squares', 'yes', 'crimson', 'yes', 'emerald']"
172,a foggy morning in a forest,"['is this a foggy morning?', 'what type of weather is this?', 'is this a morning?', 'what time is this?', 'is this a forest?', 'what type of place is this?']","[['yes', 'no'], ['fog', 'rain', 'snow', 'wind'], ['yes', 'no'], ['morning', 'afternoon', 'evening', 'night'], ['yes', 'no'], ['forest', 'park', 'mountain', 'beach']]","['yes', 'fog', 'yes', 'morning', 'yes', 'forest']"
173,White dots scattered randomly,"['are there dots scattered randomly?', 'what type of object is this?', 'are the dots scattered randomly?', 'are the dots white?', 'what color are the dots?', 'are the dots scattered randomly?', 'are the dots scattered randomly or carefully?']","[['yes', 'no'], ['dots', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['randomly', 'carefully', 'neatly', 'messily']]","['yes', 'dots', 'yes', 'yes', 'white', 'yes', 'randomly']"
174,foggy morning over a serene lake,"['is there fog?', 'what type of weather is this?', 'is this a lake?', 'what type of place is this?', 'is this a morning?', 'is this a morning or an evening?', 'is this a serene lake?', 'is this a serene or a noisy lake?']","[['yes', 'no'], ['fog', 'rain', 'snow', 'wind'], ['yes', 'no'], ['lake', 'river', 'ocean', 'pond'], ['yes', 'no'], ['morning', 'evening', 'afternoon', 'night'], ['yes', 'no'], ['serene', 'noisy', 'silent', 'loud']]","['yes', 'fog', 'yes', 'lake', 'yes', 'morning', 'yes', 'serene']"
175,deep blue swirling nebula in space,"['is this a nebula?', 'what type of object is this?', 'is this space?', 'what type of place is this?', 'is the nebula swirling?', 'what is the nebula doing?', 'is the nebula deep blue?', 'what color is the nebula?']","[['yes', 'no'], ['nebula', 'galaxy', 'star', 'planet'], ['yes', 'no'], ['space', 'park', 'forest', 'mountain'], ['yes', 'no'], ['swirling', 'spreading', 'covering', 'moving'], ['yes', 'no'], ['deep blue', 'light blue', 'red', 'yellow']]","['yes', 'nebula', 'yes', 'space', 'yes', 'swirling', 'yes', 'deep blue']"
176,A vibrant orange sunset over mountains.,"['is there a sun?', 'what is in the sky?', 'are there mountains?', 'what type of place is this?', 'is the sky orange?', 'what color is the sky?', 'is the sky vibrant?', 'is this a sunset?']","[['yes', 'no'], ['sun', 'moon', 'star', 'cloud'], ['yes', 'no'], ['mountains', 'hills', 'plains', 'valleys'], ['yes', 'no'], ['orange', 'red', 'yellow', 'blue'], ['yes', 'no'], ['yes', 'no']]","['yes', 'sun', 'yes', 'mountains', 'yes', 'orange', 'yes', 'yes']"
177,Interlocking silver rings intertwined with cyan ribbons.,"['are there rings?', 'what type of object is this?', 'are there ribbons?', 'what type of object is this?', 'are the rings intertwined with the ribbons?', 'are the rings silver?', 'what color are the rings?', 'are the ribbons cyan?', 'what color are the ribbons?', 'are the rings interlocking?', 'are the rings interlocking or intertwined?']","[['yes', 'no'], ['rings', 'necklaces', 'bracelets', 'earrings'], ['yes', 'no'], ['ribbons', 'ties', 'bows', 'belts'], ['yes', 'no'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['cyan', 'blue', 'green', 'red'], ['yes', 'no'], ['interlocking', 'intertwined', 'looping', 'woven']]","['yes', 'rings', 'yes', 'ribbons', 'yes', 'yes', 'silver', 'yes', 'cyan', 'yes', 'interlocking']"
178,a tarnished silver locket,"['is this a locket?', 'what type of object is this?', 'is the locket silver?', 'what color is the locket?', 'is the locket tarnished?', 'is the locket tarnished or shiny?']","[['yes', 'no'], ['locket', 'necklace', 'ring', 'bracelet'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['tarnished', 'shiny', 'dull', 'bright']]","['yes', 'locket', 'yes', 'silver', 'yes', 'tarnished']"
179,Diagonal stripes of alternating yellow and black,"['are there diagonal stripes of alternating yellow and black?', 'what type of pattern is this?', 'are the stripes alternating yellow and black?', 'are the stripes yellow?', 'what color are the stripes?', 'are the stripes black?', 'what color are the stripes?', 'are the stripes diagonal?', 'are the stripes diagonal or horizontal?']","[['yes', 'no'], ['diagonal stripes', 'horizontal stripes', 'vertical stripes', 'checkerboard'], ['yes', 'no'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['black', 'red', 'blue', 'green'], ['yes', 'no'], ['diagonal', 'horizontal', 'vertical', 'curved']]","['yes', 'diagonal stripes', 'yes', 'yes', 'yellow', 'yes', 'black', 'yes', 'diagonal']"
180,red brick wall,"['is this a wall?', 'what type of structure is this?', 'is the wall red brick?', 'what color is the wall?']","[['yes', 'no'], ['wall', 'ceiling', 'floor', 'roof'], ['yes', 'no'], ['red brick', 'white', 'black', 'grey']]","['yes', 'wall', 'yes', 'red brick']"
181,charcoal gray chevrons creating a repeating pattern,"['are there chevrons?', 'what type of shape is this?', 'are the chevrons creating a repeating pattern?', 'are the chevrons charcoal gray?', 'what color are the chevrons?', 'is this a repeating pattern?', 'is this a repeating pattern or a random pattern?']","[['yes', 'no'], ['chevrons', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['yes', 'no'], ['charcoal gray', 'black', 'white', 'yellow'], ['yes', 'no'], ['repeating pattern', 'random pattern', 'geometric pattern', 'organic pattern']]","['yes', 'chevrons', 'yes', 'yes', 'charcoal gray', 'yes', 'repeating pattern']"
182,a stack of antique books tied with a ribbon,"['are there books?', 'what type of object is this?', 'is there a ribbon?', 'what type of object is this?', 'are the books tied with a ribbon?', 'are the books antique?', 'are the books antique or modern?', 'is this a stack of books?', 'is this a stack or a pile of books?']","[['yes', 'no'], ['books', 'magazines', 'newspapers', 'letters'], ['yes', 'no'], ['ribbon', 'string', 'rope', 'belt'], ['yes', 'no'], ['yes', 'no'], ['antique', 'modern', 'old', 'new'], ['yes', 'no'], ['stack', 'pile', 'mountain', 'valley']]","['yes', 'books', 'yes', 'ribbon', 'yes', 'yes', 'antique', 'yes', 'stack']"
183,"a vast, starry night sky","['is this a night sky?', 'what type of place is this?', 'is the night sky vast?', 'is the night sky vast or small?', 'is the night sky starry?', 'is the night sky starry or dark?']","[['yes', 'no'], ['night sky', 'day sky', 'city', 'park'], ['yes', 'no'], ['vast', 'small', 'medium', 'tiny'], ['yes', 'no'], ['starry', 'dark', 'light', 'bright']]","['yes', 'night sky', 'yes', 'vast', 'yes', 'starry']"
184,Rolling hills under a clear sky,"['are there hills?', 'what type of place is this?', 'is there a sky?', 'what type of place is this?', 'are the hills rolling?', 'what is the hills doing?', 'is the sky clear?', 'is the sky clear or cloudy?']","[['yes', 'no'], ['hills', 'mountains', 'plains', 'valleys'], ['yes', 'no'], ['sky', 'ground', 'water', 'air'], ['yes', 'no'], ['rolling', 'moving', 'still', 'shaking'], ['yes', 'no'], ['clear', 'cloudy', 'foggy', 'rainy']]","['yes', 'hills', 'yes', 'sky', 'yes', 'rolling', 'yes', 'clear']"
185,swirling orange spirals with interspersed black dots,"['are there swirling orange spirals?', 'what type of shape is this?', 'are there black dots?', 'what type of shape is this?', 'are the black dots interspersed with the swirling orange spirals?', 'are the swirling orange spirals orange?', 'what color are the swirling orange spirals?', 'are the black dots black?', 'what color are the black dots?']","[['yes', 'no'], ['swirling orange spirals', 'straight lines', 'circles', 'squares'], ['yes', 'no'], ['black dots', 'white dots', 'red dots', 'blue dots'], ['yes', 'no'], ['yes', 'no'], ['orange', 'black', 'red', 'blue'], ['yes', 'no'], ['black', 'white', 'red', 'blue']]","['yes', 'swirling orange spirals', 'yes', 'black dots', 'yes', 'yes', 'orange', 'yes', 'black']"
